belongs_to_collection,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,keywords,cast,crew,ratings
,,,100185,tt0100479,en,Return Home,A man and his wife are partners in a small business a service station that is stuggling to survive financially They are visited by his brother a divorced middleaged man who has taken a break from his stressful career in a big business corporation,1e-06,4uwDnGYQiTqM6SyVLjILpUBlpojpg,,,1990-08-02,87.0,,Released,A man and his wife are partners in a small business a service station that is stuggling to survive financially,Return Home,5.0,1.0,"3094,18035",100185,100185,37.15686274509804
,"35,18,10749",,100196,tt0119429,en,Julian Po,Christian Slater is a stranger who comes to a small town The local citizens think hes up to no good After bothering him for a while he blurts out in frustration that he is there to kill himself,0.300345,2kdCZztkyS0sgtoWaLp3zebp1uEjpg,,,1997-09-05,84.0,en,Released,,Julian Po,6.1,6.0,1415,100196,100196,38.4
,,,100205,tt0078820,en,Baby Snakes,Rock artist Frank Zappa hosts a concert in New York City This movie contains tons of onstage footage offstage footage and animation,0.075144,jP5sEYzb1yFNjBQNAuX0GhR9qwmjpg,,iso31661 US,1979-12-21,166.0,en,Rumored,A movie about people who do stuff that is not normal,Baby Snakes,8.3,2.0,,100205,100205,30.0
,"16,35",httpdewikipediaorgwikiGertietheDinosaur,100246,tt0004008,en,Gertie the Dinosaur,Although not the first featurelength animated film as is sometimes thought it was the first cartoon to feature a character with an appealing personality The appearance of a true character distinguished it from earlier animated trick films such as those of Blackton and Cohl and makes it the predecessor to later popular cartoons such as those by Walt Disney The film was also the first to be created using keyframe animation,1.914726,6zQNAso7pVpVUPVLIv86bsbDlUWjpg,15634,iso31661 US,1914-09-15,12.0,en,Released,The greatest animal act in the world,Gertie the Dinosaur,6.7,27.0,"2598,12616,154802,166958",100246,100246,31.666666666666668
,18,,100257,tt0040335,en,Quartet,Somerset Maugham introduces four of his tales in this anthology film The Facts of Life The Alien Corn The Kite and The Colonels Lady,0.482475,jWvwfb3lxsZMsplIWLR1JM6C4lEjpg,1221,iso31661 GB,1948-10-26,120.0,en,Released,,Quartet,6.8,3.0,,100257,100257,20.0
,"35,27",,100270,tt1650555,es,Lobos de Arga,After 15 years Tomas a moderately successful writer returns to his familys ancestral village in Galicia to receive a civic award and write his next book Neither of those things happens,2.697544,oY33tXagQSc3yko8DTnkSZWQUKdjpg,,iso31661 ES,2011-10-07,104.0,es,Released,,Game of Werewolves,6.4,26.0,,100270,100270,37.083333333333336
,"35,18,27",httpwwwstiffmoviecom,100272,tt1579235,en,Harolds Going Stiff,Lonely pensioner Harold Gimble has become the first man to suffer from a new neurological disease that is slowly turning him into a zombielike state Harolds hermitlike existence is shaken up when a vivacious nurse Penny Rudge is sent along to alleviate his stiffness Her special massage techniques work a treat on Harold and they become close friends  Harold agrees to trial a possible cure for the disease at a private institute and the initial results are excellent But the following day hes in an even worse state than before and after Penny accidentally overhears the doctors dire prognosis for Harold she decides to sneak him away the next morning  Word soon gets out and before long a small group of bloodthirsty thugs are,0.9135,oBeRQjnngmSqITiBhZ9dWmSAqLJjpg,,iso31661 GB,2011-05-06,77.0,en,Released,The nicest zombie youll ever meet,Harolds Going Stiff,4.3,8.0,,100272,100272,38.36206896551724
,"27,35",,100275,tt1480658,en,Eddie The Sleepwalking Cannibal,A oncefamous painter rediscovers inspiration when he befriends a sleepwalking cannibal,2.025477,aJl7nZDzJChJW0yJdvAQGKOXAfcjpg,"118,806,thjof Film id 7048,64899",iso31661 CA,2012-04-22,79.0,en,Released,Part muse Part sleepwalking cannibal,Eddie The Sleepwalking Cannibal,6.1,30.0,"14895,179878,222850",100275,100275,26.428571428571427
,"99,878",,100287,tt1613763,da,Min Avatar og mig,is a creative documentaryfiction film and a film that might expand your sense of reality It is the story about a man who enters the virtual world Second Life to pursue his personal dreams and ambitions His journey into cyberspace becomes a magic learning experience which gradually opens the gates to a much larger reality,0.020993,1DRS1iHoIKQ3ZKVmuFeIsjRd6Grjpg,118,,2010-11-10,0.0,da,Released,,My Avatar and Me,0.0,0.0,187056,100287,100287,38.125
id 19262 name Trapped in the Closet posterpath flE2zDumOcyetdD6vwwSfYqRVA5jpg backdroppath lpGdI8XpvDSC6QvGEmQt3l28Nxnjpg,,,100450,tt0491587,en,Trapped in the Closet Chapters 112,R Kelly wakes up in a married womans bed and the husband is on his way home and they get caught but the husband has secrets of his own and it all kind of explodes from there with more characters being introduced and everyone is sleeping with everyone and there are a billion secrets and twists and cliffhangers and also its a musical where R Kelly voices every character,0.843314,2LE1g0zlnSJg0Uga17Z0MQ3UD8Qjpg,,,2005-11-01,43.0,en,Released,,Trapped in the Closet Chapters 112,6.8,9.0,,100450,100450,33.275862068965516
,"18,10749",,100490,tt0108915,en,Scarlett,The greatest love story ever told began with Gone with the Wind and continues in this sweeping epic sequel as Scarlett Rhett and a host of unforgettable characters go from tragedy to triumph in an actionpacked saga of international scope,1.288235,azffPBb1nPOBzcXH1myHXji1n4Ljpg,22123,iso31661 US,1994-11-13,360.0,en,Released,,Scarlett,7.1,6.0,9663,100490,100490,25.0
,35,httpwwwlolaversuscom,100529,tt1710417,en,Lola Versus,Just three weeks before her wedding Lola Greta Gerwig finds herself suddenly without a partner when her longtime fiance Luke Joel Kinnaman dumps her With her 30th birthday looming and being forced to reenter the New York City dating scene she feels adrift in a cold world She leans on her friends Zoe ListerJones Hamish Linklater for support but after a series of romantic humiliations professional blunders and boozy antics Lola realizes that she alone is in charge of her fate,4.296441,6WNUwaz7HVTzBsvPH9sX4rZ38Aejpg,"43,4205",iso31661 US,2012-04-24,87.0,en,Released,Lola vs Sex Love Lola The World,Lola Versus,4.8,55.0,12392,100529,100529,26.5625
,28,httpwwwthekillholemoviecom,100540,tt1727373,en,The Kill Hole,The shadow of war follows a troubled Iraq War vet as he is forced to pursue one of his own into the Pacific Northwest wilderness to finally confront a war crime that has haunted them both,0.220524,iahGPiKmjdyEtCMeVEMYhfYqgagjpg,10530,iso31661 US,2012-08-28,91.0,en,Released,,The Kill Hole,4.9,4.0,,100540,100540,33.1578947368421
,35,,100830,tt2104080,fr,Radiostars,Ben who dreamed of himself as a comic in New York is back in Paris his professional and emotional life in complete disarray He encounters Alex the star host of the Breakfast Club a popular morning radio show With Cyril a fortysomething whod prefer not to be and Arnold the charismatic leader of the gang they call the shots on Blast FM In next to no time Ben is hired to write for them Hes barely joined the team when a tidal wave hits the station Breakfast Club listenership is in free fall They set out on a bus to travel to every corner of France to meet and win over their public once again For these arrogant Parisians a real journey of initiation arises from this radiophonic road trip shaking up all their certainties,3.061471,wcfzfvCrO8K3cB9U4dIoIUXoZbBjpg,2612,iso31661 FR,2012-04-11,100.0,fr,Released,,Radiostars,5.6,58.0,,100830,100830,40.0
,"53,80,18",,101,tt0110413,fr,Lon,Leon the top hit man in New York has earned a rep as an effective cleaner But when his nextdoor neighbors are wiped out by a loosecannon DEA agent he becomes the unwilling custodian of 12yearold Mathilda Before long Mathildas thoughts turn to revenge and she considers following in Leons footsteps,20.477329,gE8S02QUOhVnAmYu4tcrBlMTujzjpg,"5,9",iso31661 FR,1994-09-14,110.0,en,Released,If you want a job done well hire a professional,Leon The Professional,8.2,4293.0,"242,417,782,796,1465,1470,2356,2708,4613,9748,9826,9957,10226,10703,34117,207268,233083,233084",101,101,37.76083800041485
,18,,101006,tt1002539,es,Liverpool,A sailor takes a short leave to visit his hometown and see if his mother is still alive,0.411596,r5vQhOvIpjBHJxciXvR9B9dPC7djpg,"1394,7777,20008,35558,39339",iso31661 AR,2008-10-30,84.0,es,Released,,Liverpool,7.3,9.0,41599,101006,101006,25.0
,"27,53",,101176,tt1612782,en,The Butterfly Room,Ann a reclusive elegant lady with an obsession for butterflies is befriended by the eerily beautiful young Alice Using her seductive innocence Alice establishes a disturbing mother daughter relationship with Ann Lured into her twisted world Ann soon discovers that she is not the only recipient of the girls affections Confronted by Alices other lady friends Anns shock awakens a dark hidden past unchaining a spiral of madness a series of brutal and bizarre crimes that Ann will have to commit to preserve her harmless and deceptive appearances The only one who recognizes theres something unsettling about Ann is nine year old Julie her next door neighbours daughter With the inevitable curiosity of a child Julie begins to,6.569589,i1B0HVS92nqvisWN5bt5Qtzun5bjpg,"2683,15080,22217,28935",iso31661 IT,2012-08-04,87.0,en,Released,Kids should never grow up,The Butterfly Room,5.9,38.0,,101176,101176,30.0
,"35,10751",,101226,tt0057999,en,Dear Heart,A lonely Ohio spinster hopes to find romance when she travels to New York City for a postmasters convention,0.338929,kCIwj6Clfaapsl1B4hUm3aIWY8Qjpg,18682,iso31661 US,1964-12-02,114.0,en,Released,Two hours from now two total strangers will meet at a hotel convention in the most unconventional love affair in years,Dear Heart,8.0,4.0,"612,2203,9840,9957",101226,101226,30.0
,35,,101281,tt0054651,en,Bachelor Flat,Anthropology Professor Bruce Patterson Terry Thomas has the natural British charm that allures women automaticaly When his fiance Helen Bushmill Celeste Holm is abroad for an extended time he has to fight the neighborhood ladies and his students away Helen has failed to tell him that she has a seventeen year old daughter Libby Tuesday Weld who shows up at her mothers home unaware that she in engaged,0.002579,2Z1ARd84HbDUNaTITab5jC9liyzjpg,,iso31661 US,1962-01-12,91.0,en,Released,,Bachelor Flat,0.0,0.0,,101281,101281,29.767441860465116
,"35,10749,10752",,101289,tt0037256,en,See Here Private Hargrove,Journalist Marion Hargrove enters the Army intending to supplement his income by writing about his training experiences He muddles through basic training at Fort Bragg with the selfserving help of a couple of buddies intent on cutting themselves in on that extra income,0.079153,jnpkr3CbcVDr9s5hjE36JcHYavIjpg,8411,iso31661 US,1944-03-18,101.0,en,Released,The Laughs of a Nation,See Here Private Hargrove,0.0,0.0,,101289,101289,30.0
id 131635 name The Hunger Games Collection posterpath ttbKy12hDjSHQcM7sCoeW1WsDlWjpg backdroppath zWiiLNg8yXv0he3tCH6XignPaYVjpg,"12,28,878",httpwwwthehungergamesmovie,101299,tt1951264,en,The Hunger Games Catching Fire,Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark Winning means that they must turn around and leave their family and close friends embarking on a Victors Tour of the districts Along the way Katniss senses that a rebellion is simmering but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games The Quarter Quell  a competition that could change Panem forever,25.309139,Hn0KgefVEp0GkdTexS6gfKTMfijpg,"1632,5420",iso31661 US,2013-11-15,146.0,en,Released,Every revolution begins with a spark,The Hunger Games Catching Fire,7.4,6656.0,"271,818,1310,1328,1382,2136,2903,2964,4565,5740,6186,8570,8862,9663,9826,10349,10410,11196,11221,11322,12380,14601,15017,156395,171956,223438",101299,101299,30.0
,18,,101307,tt0069158,en,Rage,An accidental nerve gas leak by the military kills not only a ranchers livestock but also his son When he tries to hold the military accountable for their actions he runs up against a wall of silence,0.632678,rPB00HMvnFQI5pmMLcV04AC154rjpg,6194,iso31661 US,1972-11-22,100.0,en,Released,They called it an accident He called it murder It was their conspiracy It was his son,Rage,6.4,7.0,"9748,162300,181635,220935",101307,101307,28.75
,35,,101352,tt2397489,fr,LAntismite,,0.011549,jGKGPytSWZIpTBCiIxCsqMxQeN6jpg,,iso31661 FR,2012-03-21,0.0,fr,Released,,LAntismite,0.0,0.0,,101352,101352,33.333333333333336
,"35,12,80",,101362,tt0060623,pl,Lekarstwo na mio,An architect Joanna tells her friend Halina on the telephone about her love troubles and suddenly hears a nice mans voice The best cure for love is an other love Then she becomes a forgers dispatcher mistaken for Honorata by telephone and decides to work out a forgers secret and the secret of her new love Andrzej,0.021483,jQTELnnstymtaE5j7mTj1dZWJVVjpg,9385,iso31661 PL,1966-07-20,95.0,pl,Released,,A Cure for Love,0.0,0.0,,101362,101362,32.33249581239531
,99,,101383,tt0020594,en,With Byrd at the South Pole,With Byrd at the South Pole 1930 is a documentary film about Rear Admiral Richard E Byrd and his 1st quest to the South Pole beginning at the Little AmericaExploration Base The films soundtrack consists mostly of music and sound effects with narration read by Floyd Gibbons The film won at the 3rd Academy Awards for Best Cinematography,0.10214,r0xkKkzUphpDqc1tHaEW6y1F7Zvjpg,6033,,1930-06-28,82.0,,Released,,With Byrd at the South Pole,7.5,2.0,,101383,101383,23.75
,"80,12,28,10752",,101444,tt0084104,it,I cacciatori del cobra doro,An American soldier and a British intelligence agent try to track down an ancient relic called the Golden Cobra rumored to have supernatural powers An early Raiders ripoff directed Antonio Margheriti,0.00022,6FCoj0P8cq3SJi4OYdeWn9rexU5jpg,"4787,61682",iso31661 IT,1982-08-11,95.0,"en,it",Released,He had two choices Find the treasure or lose his life,The Hunters of the Golden Cobra,5.9,4.0,"1454,1585,5572,10787,12617,188989,191574",101444,101444,25.0
,"18,10751,35,10770",,101514,tt0245380,en,Quints,Jamie Grover Kimberly J Brown is an only child who has always wanted out from the constant attention her parents give her Her wish is finally granted when she finds out her mother is pregnant but when she turns out to have quints Jamies life changes in ways she had never imagined She discovers she might not want the same things her parents want for her but nonetheless her parents focus all of their attention on her baby brothers and sisters But when one of her brothers gets terribly ill from quints she discovers that she really doesnt mind the babies and that she does have the courage to let her parents know she has dreams of her own,0.700412,cBlaAKJYzAt9z8h6n4IBaYj5ReUjpg,3213,,2000-08-18,83.0,en,Released,As if life at 14 isnt twisted enough,Quints,5.5,15.0,"1009,13130,213113",101514,101514,40.0
id 104774 name Tomtar och Trolltyg Collection posterpath 5UMq1DmJva3l7wg3VK641Sfn9Djpg backdroppath None,"16,10751",,101538,tt0271527,en,The Gnomes Great Adventure,David the Gnome and Swift the Fox embark on a search to find a gold treasure stolen by trolls,0.377454,930WDD9F2PEJ2kScWAx9LB0Azz8jpg,,iso31661 US,1987-01-01,75.0,en,Released,,The Gnomes Great Adventure,0.0,0.0,,101538,101538,45.0
,18,,101653,tt0042702,en,The Magnificent Yankee,Director John Sturges 1950 film biography of Oliver Wendell Holmes stars Louis Calhern Ann Hardingand Richard Anderson,0.171711,955MytM7k6AOSji6Rxeso2Ygy57jpg,8411,iso31661 US,1950-12-20,80.0,en,Released,,The Magnificent Yankee,5.0,1.0,"5565,6165",101653,101653,34.61538461538461
,,httpespngocomespnespnfilmsstoryid6961212un,101715,tt2077005,en,Unguarded,Chris Herren was a cant miss basketball superstar until drug addiction eventually destroyed his career With the support of his wife and family Herren struggles to conquer his demons and reclaim his life,0.061341,yU0C47jZNBvvBdzW5EsFY5lH59cjpg,,,2011-11-01,77.0,en,Released,,Unguarded,9.5,1.0,,101715,101715,15.0
,"53,18,9648",,1018,tt0166924,en,Mulholland Drive,After a car wreck on the winding Mulholland Drive renders a woman amnesic she and a perky Hollywoodhopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality,18.184056,oKyY4TFaLjQTgyX8oRde82GinOwjpg,"373,635,636,637,5358",iso31661 FR,2001-05-16,147.0,"es,en",Released,An actress longing to be a star A woman searching for herself Both worlds will collide on Mulholland Drive,Mulholland Drive,7.7,1517.0,"222,1284,1453,1565,1660,2754,2849,3183,3298,3307,3489,4623,9937,10183,10768,12670",1018,1018,30.662047729022326
,"10402,35,99",,101801,tt0282917,cs,Rok bla,Documentary maker Jan Holman follows the ultrafamous singersongwriter Jaromr Novahica during his tour with the band Cechomor The combination is very succesful but it draws a heavy toll on the band members and Jan Holman,0.329938,2sTMumJQvlOLJg4QyM9rhJtXCNnjpg,"4595,6191,92606,92607",iso31661 CZ,2002-03-07,88.0,cs,Released,A sad comedy about angels,Year of the Devil,7.7,6.0,11800,101801,101801,30.384615384615383
,99,,101803,tt0300444,en,Sam Peckinpah Man of Iron,This straighttalking program seeks to understand the enigmatic and controversial Sam Peckinpah whose violent films such as The Wild Bunch and Straw Dogs had a telling effect on the cinema of the 1970s and 80s Those who knew and worked with him including actor James Coburn actress Ali MacGraw his associate Katherine Haber his cousin Bob Peckinpah and several screenwriters and producers examine his life in an attempt to separate the man from the persona Clips from key films reinforce this detailed discussion of Peckinpahs art and a fixation on violence that still permeates Hollywood today,0.001021,peLpmC0FNcSZWq5FcWkdgm8RStGjpg,,,1993-06-29,90.0,,Released,,Sam Peckinpah Man of Iron,8.0,1.0,"886,5565",101803,101803,23.75
,"35,18",,101887,tt0324619,en,Spinning Boris,Russian political elite hires American consultants to help with President Yeltsins reelection campaign when his approval rating is down to single digits,0.209434,ivB4ZLCXmF1TkzwmNcjD4TFa8bYjpg,"6092,18880",iso31661 US,2003-10-23,112.0,"en,ru",Released,,Spinning Boris,6.0,4.0,,101887,101887,35.0
,"12,35",,101897,tt0101500,en,Boris and Natasha,The classic Bullwinkle villains Boris and Natasha are brought to life in their first fulllength movie  1992  Sally Kellerman  Dave Thomas  John Candy  Alex Rocco,0.768828,8Rzs3Czz5OrorsiOCFuLTOiA1gkjpg,,,1992-04-17,87.0,,Released,Its good to be bad,Boris and Natasha,1.8,5.0,,101897,101897,37.142857142857146
,"14,18",,101904,tt0477404,fr,travers la fort,After the death of Renaud her boyfriend Armelle cant possibly take him out of her mind Her sister advises her to see a medium in whose house she meets a boy who strangely looks like Renaud,0.312404,35DoWeaFWTdPD226OWCKU7j55pOjpg,12389,iso31661 FR,2005-10-12,65.0,fr,Released,,Through the Forest,6.0,3.0,10183,101904,101904,37.01923076923077
,18,,101908,tt0456658,zh,,In the 1960s encouraged by the government a large number of families leave Chinese cities to settle in the poorer regions of the country in order to develop local industry The films main character is a 19 year old girl who lives in the Guizhou province where her parents have settled Thats where she has grown up where her friends are and where she first experiences love But her father believes that their future lies in Shanghai How can they all keep on living together when they dont share the same dreams,0.334025,5AIYASWXNr2oCN9pQHaQIEN87gdjpg,,iso31661 CN,2005-06-03,123.0,zh,Released,,Shanghai Dreams,5.6,8.0,,101908,101908,25.0
,"53,18",,101916,tt0469810,en,Live Once Die Twice,Nicole Lauker unexpectedly loses her husband to a boating explosion accident that claims the lives of two people An FBI investigation sparks speculation that it may not have been an accident after all,0.374604,s7Cze58VHCEVt62V7ijkqzo8cp1jpg,,,2006-02-20,120.0,en,Released,,Live Once Die Twice,1.5,2.0,,101916,101916,25.0
,"18,10749",,102,tt0315543,da,Elsker dig for evigt,Cecilie and Joachim are about to get married when a freak car accident leaves Joachim disabled throwing their lives into a spin The driver of the other car Marie and her family dont get off lightly either Her husband Niels works in the hospital where he meets Cecilie and falls madly in love with her,6.818513,hOrV2fCw2kmSiS4ZMGFPfXqr3ltjpg,76,iso31661 DK,2002-09-06,113.0,da,Released,,Open Hearts,6.8,27.0,"30,509,856,978,1333,1334,1335,3817,7879,9844,11612,12996,14534,15160,34094,158558,187056",102,102,24.40532825880114
,"35,878",,102039,tt1263692,en,Mock Up on Mu,A radical hybrid of spy scifi Western and even horror genres Craig Baldwins Mock Up On Mu cobbles together a featurelength collagenarrative based on mostly true stories of Californias postWar subcultures of rocket pioneers alternative religions and Beat lifestyles Pulpserial snippets industrialfilm imagery and B and Z fiction clips are intercut with newly shot liveaction material powering a playful allegorical trajectory through the nowmythic occult matrix of Jack Parsons Crowleyite founder of the Jet Propulsion Lab LRon Hubbard scifi author turned cultleader and Marjorie Cameron bohemian artist and mother of the New Age movement Their intertwined tales spin out into a speculative farce on the,0.107888,bfL66a8c2PFWbMfJ8eSquSykkTDjpg,,,2008-01-14,114.0,,Released,,Mock Up on Mu,8.0,2.0,,102039,102039,40.0
,"35,10749",httpwwwunicorncitycom,102051,tt1734589,en,Unicorn City,Voss entices local gamers to create a utopia to impress a potential employer but paradise is disrupted when his nemesis lays claim to the city and Vosss true love,1.495721,ygJmUYee8kvL1V1aPY6MvDFHnrRjpg,,iso31661 US,2012-02-24,103.0,en,Released,You are what you pretend to be,Unicorn City,5.5,15.0,"10196,157909",102051,102051,26.511627906976745
,"10752,18",,102078,tt0050298,en,The Deep Six,The conflict between duty and conscience is explored in the WWII drama The Deep Six Alan Ladd stars as Naval gunnery officer Alec Austin a Quaker whose sincere pacifist sentiments do not sit well with his crew members When he refuses to fire upon an unidentified plane the word spreads that Austin cannot be relied upon in battle never mind that the plane turns out to be one of ours To prove that hes worthy of command Austin volunteers for a dangerous mission the rescue of a group of US pilots on a Japaneseheld island The ubiquitous William Bendix costars as Frenchy Shapiro  Austins Jewish petty officer and severest critic If the film has a villain it is Keenan Wynn as ambitious Lt Commander Edge who seems to despise a,0.71938,sPp7JCWM3NMlVdEn8VoFDvTa2EJjpg,15606,iso31661 US,1958-01-15,105.0,en,Released,Well get there and well get em out,The Deep Six,4.5,2.0,,102078,102078,20.0
,"18,10752",,102165,tt0054095,en,The Mountain Road,In 1944 in eastern part of China USArmy Major Baldwin and his volunteer team of demolition engineers are left behind the retreating Chinese forces Their task is to slow down the Japanese advance into eastern China by blowing up bridges roads airfields and munitions dumps They start by blowing up an American airfield and ammo dump They receive the order to destroy a vital bridge over a mountain passThe team uses a few army trucks to move around At the bridge they encounter a Nationalist Chinese Army unit in charge of guarding the bridge Thanks to an American soldier who speaks some Chinese Major Baldwin requests the permission from the Chinese commander to blow up the bridgeThe Chinese colonel agrees but asks the American,0.223814,hhcPwqaqEAm4ZxvlthmxqFeXaGrjpg,3473,iso31661 US,1960-06-15,102.0,en,Released,Flaming skies blasted earth the touch of love,The Mountain Road,7.0,1.0,"478,818,1944,33344",102165,102165,28.125
,"28,53",,102197,tt2321517,ru,,Spring 1941 Center of Moscow Duel of the two intelligence services turns more and more tense,1.822246,u8y8Cb9rYbzPDIpGo6pcYDdQYZOjpg,"3467,6453,9342,19126,76043,77594",iso31661 RU,2012-04-05,99.0,ru,Released,,The Spy,4.6,10.0,,102197,102197,25.0
,"10402,18",,102242,tt0246937,en,Something to Sing About,Tommy Darius McCrary is a troubled young man with a history of crime When he meets Memaw an elderly lady the two form a special bond with Memaw encouraging Charlie to sing in the local church choir a talent he has ignored until now While Charlie excels in church his old friend G Smooth remains skeptical and stays on the streets SOMETHING TO SING ABOUT is a heartwarming film with a lot of spirit and some great singing talent on display Featuring a cameo by Rev Billy Graham,0.636558,aPck2f1maZAqG8oKMyd9ObXGGrjjpg,3915,iso31661 US,2000-06-10,87.0,en,Released,,Something to Sing About,5.3,2.0,12990,102242,102242,32.142857142857146
